亜: つぐ
哀: あわれ、あわれむ、かなしい
愛: いとしい、かなしい、めでる、おしむ、まな
挨: ひらく
悪: わるい、あし、にくい、ああ、いずくに、いずくんぞ、にくむ
握: にぎる
圧: おす、へす、おさえる、おさえる
扱: あつかい、あつかう、あつかる、こく
宛: あてる、あたかも
安: やすい、やすまる、やす、やすらか
暗: くらい、くらむ、くれる
案: つくえ
闇: やみ、くらい
以: もって
位: くらい、ぐらい
依: よる
偉: えらい
囲: かこむ、かこう、かこい
委: ゆだねる
威: おどす、おどし、おどかす
慰: なぐさめる、なぐさむ
易: やさしい、やすい
為: ため、なる、なす、する、たり、つくる、なり
畏: おそれる、かしこまる、かしこ、かしこし
異: こと、ことなる、け
移: うつる、うつす
緯: よこいと、ぬき
萎: な、しおれる、しなびる、しぼむ、なえる
衣: ころも、きぬ
違: ちがう、ちがい、ちがえる、たがう、たがえる
遺: のこす
医: いやす、いする、くすし
井: い
育: そだつ、そだち、そだてる、はぐくむ
一: ひとつ
壱: ひとつ
逸: それる、そらす、はぐれる
稲: いね
茨: いばら、かや、くさぶき
芋: いも
印: しるし、しるす
咽: むせぶ、むせる、のど、のむ
因: よる、ちなむ
引: ひく、ひける
飲: のむ
淫: ひたす、ほしいまま、みだら、みだれる、みだり
陰: かげ、かげる
隠: かくす、かくし、かくれる、よる
右: みぎ
羽: は、わ、はね
雨: あめ
臼: うす、うすづく
渦: うず
唄: うた、うたう
浦: うら
運: はこぶ
雲: くも
餌: え、えば、えさ、もち
営: いとなむ、いとなみ
影: かげ
映: うつる、うつす、はえる
栄: さかえる、はえ、はえる、え
永: ながい
泳: およぐ
英: はなぶさ
詠: よむ、うたう
鋭: するどい
益: ます
悦: よろこぶ、よろこばす
越: こす、こえる
閲: けみする
円: まるい、まる、まど、まどか、まろやか
園: その
宴: うたげ
延: のびる、のべる、のべ、のばす
怨: うらむ、うらみ、うらめしい
沿: そう
炎: ほのお
煙: けむる、けむり、けむい
猿: さる
縁: ふち、ふちどる、ゆかり、よすが、へり、えにし
艶: つや、なまめかしい、あでやか、つやめく、なまめく
遠: とおい
鉛: なまり
塩: しお
汚: けがす、けがれる、けがらわしい、よごす、よごれる、きたない
凹: くぼむ、へこむ、ぼこ
奥: おく、おくまる、くま
往: いく、いにしえ、さきに、ゆく
応: あたる、まさに、こたえる
押: おす、おさえる、おさえる
旺: かがやき、うつくしい、さかん
横: よこ
欧: うたう、はく
殴: なぐる
翁: おきな
黄: き
岡: おか
沖: おき、おきつ、ちゅうする、わく
屋: や
臆: むね、おくする
乙: きのと
俺: おれ、われ
