亜: ア
哀: アイ
愛: アイ
挨: アイ
悪: アク、オ
握: アク
圧: アツ、エン、オウ
扱: ソウ、キュウ
宛: エン
安: アン
暗: アン
案: アン
闇: アン、オン
以: イ
位: イ
依: イ、エ
偉: イ
囲: イ
委: イ
威: イ
尉: イ、ジョウ
意: イ
慰: イ
易: エキ、イ
椅: イ
為: イ
畏: イ
異: イ
移: イ
維: イ
緯: イ
胃: イ
萎: イ
衣: イ、エ
違: イ
遺: イ、ユイ
医: イ
井: セイ、ショウ
域: イキ
育: イク
一: イチ、イツ
壱: イチ、イツ
逸: イツ
稲: トウ、テ
茨: シ、ジ
芋: ウ
印: イン
咽: イン、エン、エツ
員: イン
因: イン
姻: イン
引: イン
飲: イン、オン
淫: イン
院: イン
陰: イン
隠: イン、オン
韻: イン
右: ウ、ユウ
宇: ウ
羽: ウ
雨: ウ
臼: キュウ、グ
渦: カ
唄: バイ
浦: ホ
運: ウン
雲: ウン
餌: ジ、ニ
営: エイ
影: エイ
映: エイ
栄: エイ、ヨウ
永: エイ
泳: エイ
英: エイ
衛: エイ、エ
詠: エイ
鋭: エイ
液: エキ
疫: エキ、ヤク
益: エキ、ヤク
駅: エキ
悦: エツ
謁: エツ
越: エツ、オツ
閲: エツ
円: エン
園: エン
宴: エン
延: エン
怨: エン、オン、ウン
援: エン
沿: エン
演: エン
炎: エン
煙: エン
猿: エン
縁: エン
艶: エン
遠: エン、オン
鉛: エン
塩: エン
汚: オ
凹: オウ
央: オウ
奥: オウ
往: オウ
応: オウ、ヨウ
押: オウ
旺: オウ、キョウ、ゴウ
横: オウ
欧: オウ
殴: オウ
王: オウ
翁: オウ
黄: コウ、オウ
岡: コウ
沖: チュウ
億: オク
屋: オク
憶: オク
臆: オク、ヨク
乙: オツ、イツ
俺: エン
卸: シャ
恩: オン
温: オン
穏: オン
音: オン、イン
下: カ、ゲ
化: カ、ケ
仮: カ、ケ
何: カ
価: カ、ケ
佳: カ
加: カ
可: カ、コク
夏: カ、ガ、ゲ
嫁: カ
家: カ、ケ
寡: カ
科: カ
暇: カ
果: カ
架: カ
歌: カ
河: カ
火: カ
禍: カ
稼: カ
箇: カ、コ
花: カ、ケ
苛: カ
荷: カ
華: カ、ケ
菓: カ
課: カ
貨: カ
過: カ
蚊: ブン
我: ガ
牙: ガ、ゲ
画: ガ、カク、エ、カイ
芽: ガ
賀: ガ
雅: ガ
餓: ガ
介: カイ
会: カイ、エ
解: カイ、ゲ
回: カイ、エ
塊: カイ、ケ
壊: カイ、エ
快: カイ
怪: カイ、ケ
悔: カイ
懐: カイ、エ
戒: カイ
拐: カイ
改: カイ
械: カイ
海: カイ
灰: カイ
界: カイ
皆: カイ
絵: カイ、エ
開: カイ
階: カイ
貝: バイ
劾: ガイ
外: ガイ、ゲ
害: ガイ
崖: ガイ、ゲ、ギ
慨: ガイ
概: ガイ
涯: ガイ
蓋: ガイ、カイ、コウ
街: ガイ、カイ
該: ガイ
骸: ガイ、カイ
垣: エン
柿: シ
嚇: カク
各: カク
拡: カク、コウ
格: カク、コウ、キャク、ゴウ
核: カク
殻: カク、コク、バイ
獲: カク
確: カク、コウ
穫: カク
覚: カク
角: カク
較: カク、コウ
郭: カク
閣: カク
隔: カク
革: カク
学: ガク
岳: ガク
楽: ガク、ラク、ゴウ
額: ガク
顎: ガク
