一: 一
二: 二
三: 二一
四: 園儿
五: 五
六: 卜金
七: 七
八: ノノ
九: 九
十: 十
百: 一日
千: ノ十
日: 日
月: 月
火: 火
水: 水
木: 木
金: 金
土: 土
下: 一卜
上: 卜一
左: 大一
右: 大口
大: 大
中: 中
小: 小
手: 手
足: 口卜人
目: 目
耳: 月ノ
口: 口
人: 人
子: 子
女: 女
男: 田力
名: 夕口
年: 竹手
山: 山
川: 中中中
森: 木木木
林: 木木
田: 田
空: 十儿一
雨: 雨
天: 一大
気: 山父
夕: 夕
花: 井人心
草: 井日十
竹: 竹
犬: 丶大
虫: 中厶
貝: 目金
石: 一口
王: 王
玉: 王丶
力: 力
糸: 糸
車: 十田十
音: 卜井日
学: 小子
校: 木卜父
先: 竹土儿
生: 竹王
字: 十子
文: 卜父
本: 木一
村: 木丁
町: 田丁
白: 丶日
赤: 土火
青: 王月
円: 
正: 一止
早: 日十
入: 人竹
出: 山山
立: 卜井
休: 人木
見: 目儿
春: 手大日
夏: 一目水
秋: 禾火
冬: 水卜
光: 火一儿
風: 几中厶
晴: 日王月
雲: 雨厶
雪: 雨ヨ
朝: 十十月
昼: 尸日一
夜: 卜人夕
午: 竹一
明: 日月
星: 日王
野: 田土弓戈弓
原: 一日小
岩: 山一口
谷: 金人口
海: 水人田卜
池: 水心十
公: 金厶
園: 園
西: 一儿園
南: 十月井十
東: 木田
北: 中一心
時: 日土寸
分: 金刀
週: 卜月土口
曜: 日ヨ隹
今: 人弓
元: 一一儿
間: 門日
親: 卜木目儿
母: 田卜丶
兄: 口儿
父: 父
弟: 井弓ノ
姉: 女卜巾
妹: 女十木
自: 丶目
友: 大水
体: 人木一
毛: 手山
頭: 一井一月金
顔: 
声: 
心: 心
首: 井目
思: 田心
考: 土ノ弓
才: 丁ノ
言: 言
記: 言弓
話: 言竹十口
書: ヨ土日
読: 言土儿
聞: 門目
語: 言五口
算: 竹目井
国: 園王
数: 
理: 一土田土
科: 竹木卜十
社: 戈火土
会: 
図: 
画: 
工: 一中一
作: 人人尸
歌: 一口弓人 * 難一口弓人
絵: 
楽: 
色: 弓日山
紙: 女火竹女心
黄: 
黒: 
形: 一井竹竹竹
点: 
丸: 大弓戈
線: 女火竹日水 * 女火戈戈
合: 人一口
直: 十月一一
角: 弓月土
計: 卜口十
何: 人一弓口
答: 竹人一口
電: 一月中田山 * 一月田山
教: 十木人大
知: 竹大口
万: 一力
毎: 
回: 園口
番: ノ木田
半: 小二
当: 小ヨ
組: 女火月一
交: 卜金大
通: 卜弓戈月
道: 卜井竹山
場: 土日一竹 * 土人日竹
地: 土十
方: 卜力
京: 卜口小
市: 卜巾
里: 田土
寺: 土丁
店: 戈卜口
家: 十一尸人
門: 門
室: 十厶土
戸: 一尸
台: 厶口
汽: 水人一弓
船: 丶月金口
弓: 弓
矢: 人大
刀: 尸竹
馬: 隹火
魚: 弓田火
牛: 竹手
鳥: 丶日卜火
鳴: 口丶日火
羽: 丁丁卜
肉: 人月人
米: 米
麦: 
茶: 井人木
食: 人戈日女
活: 水ノ十口
用: 月手
前: 井月刀
後: 彳糸水
内: 
外: 夕卜
遠: 卜土口女
近: 卜斤
多: 夕夕
少: 小ノ
古: 十口
新: 卜木斤
太: 大丶
細: 糸田
強: 弓厶厶
弱: 弓弓卜
長: 尸一女
高: 卜口月口
広: 广厶
同: 冂一口
歩: 止小ノ
走: 土卜人
行: 彳丁
来: 卜米
帰: 刀ヨ巾
止: 止
売: 
買: 田中月山金
引: 弓中
切: 心尸竹
悪: 
安: 十女
暗: 日卜井日
医: 
委: 竹木女
意: 卜井日心
育: 卜戈月
員: 口月山金
院: 弓中十一山
飲: 人戈弓人
運: 卜月十十
泳: 水戈弓水
駅: 
央: 中月大
横: 
屋: 尸一戈土
温: 
化: 人心
荷: 井人一口
界: 田人中中
開: 日弓一井
階: 土心心日 * 弓中心心日
寒: 十井金卜
感: 戈口心
漢: 水井中人
館: 人戈十口口 * 人口十口口
岸: 山一一十
起: 土人口山 * 土人尸山
究: 十儿九
期: 廿金月
客: 十竹水口
急: 弓ヨ心
級: 女火弓竹水
宮: 十口竹口
球: 王戈水
去: 土厶
橋: 木竹大月
業: 廿廿二木
曲: 井田
局: 尸月口
銀: 金日女
区: 
苦: 廿十口
係: 人ノ糸
具: 目一金
君: 尸大口
軽: 十十水土
血: 竹月井
決: 水木大 * 戈一木大
研: 一口一十十 * 一口一井
県: 
庫: 戈十田十
湖: 水十口月
向: 丶月口
幸: 土井十
港: 水井已
号: 口一勹
根: 木日衣
祭: 月人一一火
皿: 月井
仕: 人土
死: 一夕心
使: 人十中メ
始: 女厶口
指: 手心日
歯: 
詩: 卜口土木戈
次: 戈一弓人 * 一一弓人
事: 丁中ヨ
持: 手土木戈
式: 弋工
実: 十土大
写: 月勹一
者: 十大日
主: 丶王
守: 十寸
取: 尸十水
酒: 水一金田
受: 月月水
州: 心卜中
拾: 手人口
終: 糸水卜
習: 尸一竹日
集: 隹木
住: 人丶王
重: ノ十田土
宿: 十人一日
所: 尸斤
暑: 日十大日
助: 月一大尸
昭: 日尸竹口
消: 水小月
商: 卜金月口
章: 卜井日十
勝: 月火手尸
乗: 
植: 木十月一
申: 中田中
身: 竹難竹
神: 戈火中田中
真: 十月一金
深: 水月金木
進: 卜人土
世: 心井
昔: 井日
全: 人一土
整: 木大一卜一
相: 木月山
送: 卜井大
想: 木山心
息: 竹山心
速: 卜木中
族: 卜尸人人大
他: 人心木
打: 手一弓
対: 
待: 竹人土木戈
代: 人戈心
第: 竹弓中竹
炭: 山一火
短: 人大一口井
題: 日人一月金
談: 卜口火火
着: 
注: 水卜土
柱: 木卜土
丁: 一弓
帳: 中月尸一女
調: 卜口月土口 * 卜口月手口
追: 卜竹口口
定: 十一卜人
庭: 戈弓大土
笛: 竹中田
都: 十日弓中
鉄: 
転: 
度: 戈井水
投: 手竹弓水
豆: 一口井
島: 竹日卜山
湯: 水日一竹
登: 弓人一口井
等: 竹土木戈
動: 竹土大尸
童: 卜井田土
農: 木木一一女 * 井田一一女
波: 水木竹水
配: 一田尸山
畑: 
倍: 人卜井口
箱: 竹木月山
発: 
反: 竹水
坂: 
板: 木竹水 * 難木竹水
皮: 木竹水
悲: 中卜心
美: 井土大
鼻: 竹山田一中 * 竹山田井
筆: 竹中手
氷: 
表: 手一女
秒: 竹木火竹
病: 大一人月
品: 口口口
負: 弓月山金 * 尸竹月山金
部: 卜口弓中
服: 月尸中水
福: 戈火一口田
物: 竹手心竹竹
平: 一火十
返: 卜竹水
勉: 弓山大尸
放: 卜尸人大
味: 口十木
命: 人一口中
面: 一田尸中
問: 日弓口
役: 竹人竹弓水
薬: 
由: 中田
油: 水中田
有: 大月
遊: 卜卜尸木
予: 弓戈弓弓
羊: 井手
洋: 水井手
葉: 井心井木
陽: 弓中日一竹
様: 
落: 井水竹口
流: 水卜戈山
旅: 卜尸人竹女
両: 
緑: 
礼: 
列: 一弓中弓
練: 糸木田
路: 口一竹水口
和: 禾口
愛: 月月心水
案: 十女木
以: 女戈人
衣: 衣
位: 人卜廿
囲: 園井
胃: 田月
印: ヨ卩
英: 廿中大
栄: 
塩: 
億: 人卜井心
加: 大尸口
果: 井田木 * 田木
課: 卜口田木
芽: 井一女竹
貨: 人心月山金
改: 尸山人大
械: 木戈井
害: 十手十口 * 十手一口
街: 竹人土土弓
各: 竹水口
覚: 
完: 十一一山
官: 十口中口
管: 竹十口口
関: 
観: 
季: 竹木弓木
願: 一火一月金
希: 大大中月
紀: 女火尸山
喜: 土口井口
旗: 卜尸人井金
器: 口口戈大口
機: 木女戈戈
議: 卜口井土戈
求: 戈十水
泣: 水卜井
救: 戈水人大
給: 女火人一口
挙: 
漁: 水弓田火
鏡: 金卜井山
共: 井金
協: 十大尸尸 * 心大尸尸
競: 卜山卜井山
極: 木一水一
訓: 卜口中中中
軍: 月十田十
郡: 尸口弓中
径: 
型: 一弓土
景: 日卜口火
芸: 井一一戈
欠: 弓人
結: 女火土口
建: 弓大中手
固: 田十口
健: 人弓大手
験: 
功: 一大尸
好: 女弓木
候: 人中弓大
航: 竹卜卜竹弓
康: 戈中水
告: 竹土口
差: 井手一
菜: 井月木
最: 日尸十水
材: 木木竹
昨: 日人尸
札: 木山
刷: 尸月中弓
察: 十月人火
参: 
殺: 大金竹弓水 * 大木竹弓水
産: 
散: 井月人大
残: 
士: 十一
氏: 竹女心
史: 中大
司: 尸一口
試: 卜口戈心一
児: 
治: 水戈口
辞: 
種: 竹木竹十土
失: 竹手人
借: 人井日
周: 月土口 * 月手口
祝: 戈火口竹山
順: 中中中金
初: 中尸竹
松: 木金戈
笑: 竹ノ大
唱: 口日日
